o'simlik_id,tur,nomi,ilmiy_nomi,turi_guruh,tavsif,parvarish,foydalanish,mintaqa
15,tarvuz,Tarvuz,Citrullus lanatus,poliz ekinlari,"Tarvuz - Cucurbitaceae oilasiga mansub, shirali, suvi ko'p meva beradigan o'simlik.","Issiq iqlimni sevadi, ko'p quyosh va suv talab qiladi, fosfor va kaliy zarur.","Yangi holda iste'mol qilinadi. Suv, likopen va C vitamini manbai.","O'zbekiston, Markaziy Osiyo"
16,qovun,Qovun,Cucumis melo,poliz ekinlari,"Qovun - Cucurbitaceae oilasiga mansub, shirali va xushbo'y meva beradigan o'simlik.","Issiq va quruq iqlimni sevadi, qumli tuproqlarni afzal ko'radi.","Yangi holda iste'mol qilinadi. A, C vitaminlari va folat manbai.","O'zbekiston, Markaziy Osiyo"
17,anjir,Anjir,Ficus carica,mevali daraxt,"Anjir - Moraceae oilasiga mansub, shirali, shirin mevali daraxt yoki buta.","Issiq iqlimni sevadi, quruqchilikka chidamli, muntazam kesilishi kerak.","Yangi yoki quritilgan holda iste'mol qilinadi. Kalsiy va magniy manbai.","O'zbekiston, Markaziy Osiyo"
18,anor,Anor,Punica granatum,mevali daraxt,"Anor - Lythraceae oilasiga mansub, qizil rangli, doni ko'p mevali buta yoki daraxt.","Issiq iqlimni sevadi, quruqchilikka chidamli, ohakli tuproqlarni afzal ko'radi.","Yangi holda yoki sharbat tayyorlashda ishlatiladi. C vitamini va polifenollar manbai.","O'zbekiston, Markaziy Osiyo"
19,gilos,Gilos,Prunus avium,mevali daraxt,"Gilos - Rosaceae oilasiga mansub, shirin, qizil rangdagi mevali daraxt.","Quyoshli joylarda o'sadi, yaxshi drenajli tuproq zarur, sovuqqa chidamli.","Yangi holda yoki jam, sharbat tayyorlashda ishlatiladi. C vitamini va antioksidantlar manbai.","O'zbekiston, Markaziy Osiyo"
20,o'rik,O'rik,Prunus armeniaca,mevali daraxt,"O'rik - Rosaceae oilasiga mansub, to'q sariq rangdagi, shirali mevali daraxt.","Issiq iqlimni sevadi, qishki sovuqlardan himoya zarur, ohakli tuproqlarni afzal ko'radi.","Yangi holda, quritilgan holda, jam tayyorlashda ishlatiladi. A vitamini va karotin manbai.","O'zbekiston, Markaziy Osiyo"
21,xurmo,Xurmo,Diospyros kaki,mevali daraxt,"Xurmo - Ebenaceae oilasiga mansub, to'q zarg'aldoq rangdagi mevali daraxt.","Quyoshli joylarda o'sadi, namlikni sevadi, fosfor va kaliy zarur.","Yangi holda iste'mol qilinadi. A, C vitaminlari va tanin manbai.","O'zbekiston, Markaziy Osiyo"
22,limon,Limon,Citrus limon,mevali daraxt,"Limon - Rutaceae oilasiga mansub, nordon ta'mli, sariq rangdagi sitrusi mevali daraxt.","Issiq iqlimni sevadi, sovuqqa sezgir, kislotali tuproqlarni afzal ko'radi.","Salatlarda, ichimliklar, pishirishda ziravor sifatida ishlatiladi. C vitamini manbai.","O'zbekiston janubi, issiqxona"
23,apelsin,Apelsin,Citrus sinensis,mevali daraxt,"Apelsin - Rutaceae oilasiga mansub, shirin, to'q sariq rangdagi sitrusi mevali daraxt.","Issiq iqlimni sevadi, sovuqqa sezgir, kislotali tuproqlarni afzal ko'radi.","Yangi holda, sharbat tayyorlashda ishlatiladi. C vitamini va folat manbai.","O'zbekiston janubi, issiqxona"
24,mandarin,Mandarin,Citrus reticulata,mevali daraxt,"Mandarin - Rutaceae oilasiga mansub, shirin, po'sti oson ajraladigan sitrusi mevali daraxt.","Issiq iqlimni sevadi, sovuqqa sezgir, muntazam sug'orishni talab qiladi.","Yangi holda iste'mol qilinadi. C vitamini va flavonoidlar manbai.","O'zbekiston janubi, issiqxona"
25,nok,Nok,Pyrus communis,mevali daraxt,"Nok - Rosaceae oilasiga mansub, shirali, shirin mevali daraxt.","Quyoshli joylarda o'sadi, sovuqqa chidamli, chuqur tuproq zarur.","Yangi holda, pishirishda, sharbat tayyorlashda ishlatiladi. C vitamini va tolalar manbai.","O'zbekiston, Markaziy Osiyo"
26,behi,Behi,Cydonia oblonga,mevali daraxt,"Behi - Rosaceae oilasiga mansub, sariq rangdagi, xushbo'y mevali daraxt.","Quyoshli joylarda o'sadi, namlikni sevadi, quruqchilikka chidamli.","Murabbolar, kompotlar tayyorlashda ishlatiladi. C vitamini va pektin manbai.","O'zbekiston, Markaziy Osiyo"
27,yong'oq,Yong'oq,Juglans regia,yong'oqli daraxt,"Yong'oq - Juglandaceae oilasiga mansub, qattiq po'stli, mag'zi yeyiladigan mevali daraxt.","Chuqur tuproqni sevadi, katta joyni egallaydi, sovuqqa chidamli.","Qovurib, pishirishda, shirinliklar tayyorlashda ishlatiladi. Oqsil, yog', omega-3 manbai.","O'zbekiston, Markaziy Osiyo"
28,bodom,Bodom,Prunus dulcis,yong'oqli daraxt,"Bodom - Rosaceae oilasiga mansub, qattiq po'stli, mag'zi shirin mevali daraxt.","Issiq va quruq iqlimni sevadi, ohakli tuproqlarni afzal ko'radi, sovuqqa sezgir.","Qovurib, pishirishda, yog' olishda ishlatiladi. E vitamini va magniy manbai.","O'zbekiston, Markaziy Osiyo"
29,pista,Pista,Pistacia vera,yong'oqli daraxt,"Pista - Anacardiaceae oilasiga mansub, qattiq po'stli, mag'zi yeyiladigan mevali daraxt.","Issiq va quruq iqlimni sevadi, sho'rlangan tuproqlarda ham o'sa oladi.","Qovurib, pishirishda, shirinliklar tayyorlashda ishlatiladi. B vitamini va temir manbai.","O'zbekiston, Markaziy Osiyo"
30,yeryong'oq,Yeryong'oq,Arachis hypogaea,dukkakli,"Yeryong'oq - Fabaceae oilasiga mansub, yerosti mevasi yeyiladigan o'simlik.","Issiq iqlimni sevadi, yengil tuproqlarni afzal ko'radi, azot o'g'iti kerak emas.","Qovurib, pishirishda, yog' olishda ishlatiladi. Oqsil va B vitamini manbai.","O'zbekiston janubi"
31,rediska,Rediska,Raphanus sativus,sabzavot,"Rediska - Brassicaceae oilasiga mansub, qizil yoki oq ildizmevali sabzavot.","Salqin ob-havoni afzal ko'radi, tez o'sadi, yengil tuproq zarur.","Salatlarda yangi holda ishlatiladi. C vitamini va folat manbai.","O'zbekiston, Markaziy Osiyo"
32,gulkaram,Gulkaram,Brassica oleracea var. botrytis,sabzavot,"Gulkaram - Brassicaceae oilasiga mansub, oq rangdagi to'pguldor sabzavot.","Salqin ob-havoni afzal ko'radi, namlikni sevadi, muntazam o'g'itlashni talab qiladi.","Salatlarda, pishirishda ishlatiladi. C vitamini va K vitamini manbai.","O'zbekiston, Markaziy Osiyo"
33,brokoli,Brokoli,Brassica oleracea var. italica,sabzavot,"Brokoli - Brassicaceae oilasiga mansub, yashil rangdagi to'pguldor sabzavot.","Salqin ob-havoni afzal ko'radi, muntazam sug'orishni talab qiladi, azot zarur.","Salatlarda, pishirishda ishlatiladi. C vitamini va K vitamini manbai.","O'zbekiston, Markaziy Osiyo"
34,selderey,Selderey,Apium graveolens,sabzavot,"Selderey - Apiaceae oilasiga mansub, xushbo'y poyali sabzavot.","Namlikni sevadi, salqin ob-havoni afzal ko'radi, unumdor tuproq zarur.","Salatlarda, sho'rvalarda ishlatiladi. K vitamini va tolalar manbai.","O'zbekiston, Markaziy Osiyo"
35,turp,Turp,Raphanus sativus,sabzavot,"Turp - Brassicaceae oilasiga mansub, o'tkir ta'mli ildizmevali sabzavot.","Salqin ob-havoni afzal ko'radi, chuqur tuproqni sevadi, qishda ham o'sadi.","Salatlarda yangi holda ishlatiladi. C vitamini va antioksidantlar manbai.","O'zbekiston, Markaziy Osiyo"
36,ismaloq,Ismaloq,Spinacia oleracea,sabzavot,"Ismaloq - Amaranthaceae oilasiga mansub, yashil yaprog'li sabzavot.","Salqin ob-havoni afzal ko'radi, unumdor tuproq zarur, azot kerak.","Salatlarda, pishirishda ishlatiladi. A, C vitaminlari va temir manbai.","O'zbekiston, Markaziy Osiyo"
37,sarimsoq,Sarimsoq,Allium sativum,sabzavot,"Sarimsoq - Amaryllidaceae oilasiga mansub, o'tkir ta'mli piyozli sabzavot.","Sovuqqa chidamli, qishda ham o'sa oladi, yengil tuproqlarni afzal ko'radi.","Pishirishda ziravor sifatida ishlatiladi. Oltingugurt birikmalari va allitsin manbai.","O'zbekiston, Markaziy Osiyo"
38,ko'k_piyoz,Ko'k piyoz,Allium schoenoprasum,sabzavot,"Ko'k piyoz - Amaryllidaceae oilasiga mansub, o'tkir ta'mli ko'k yaprog'li sabzavot.","Namlikni sevadi, quyoshli joylarda o'sadi, azotli o'g'itlar zarur.","Salatlarda, pishirishda ziravor sifatida ishlatiladi. K vitamini va folat manbai.","O'zbekiston, Markaziy Osiyo"
39,petrushka,Petrushka,Petroselinum crispum,ko'katlar,"Petrushka - Apiaceae oilasiga mansub, xushbo'y ko'k yaprog'li o'simlik.","Mo''tadil quyosh, namlikni sevadi, muntazam o'g'itlashni talab qiladi.","Salatlarda, pishirishda ziravor sifatida ishlatiladi. C vitamini va temir manbai.","O'zbekiston, Markaziy Osiyo"
40,ukrop,Ukrop,Anethum graveolens,ko'katlar,"Ukrop - Apiaceae oilasiga mansub, xushbo'y ko'k yaprog'li o'simlik.","Quyoshli joylarda o'sadi, yengil tuproqlarni afzal ko'radi, tez o'sadi.","Salatlarda, marinad qilishda ziravor sifatida ishlatiladi. A vitamini va kaliy manbai.","O'zbekiston, Markaziy Osiyo"
41,reyhan,Reyhan,Ocimum basilicum,ko'katlar,"Reyhan - Lamiaceae oilasiga mansub, xushbo'y ko'k yaprog'li o'simlik.","Quyoshli joylarda o'sadi, issiq iqlimni sevadi, muntazam sug'orishni talab qiladi.","Salatlarda, pishirishda ziravor sifatida ishlatiladi. K vitamini va antioksidantlar manbai.","O'zbekiston, Markaziy Osiyo"
42,yalpiz,Yalpiz,Mentha,ko'katlar,"Yalpiz - Lamiaceae oilasiga mansub, xushbo'y, salqin ta'mli ko'k yaprog'li o'simlik.","Namlikni sevadi, quyoshli joylarda o'sadi, tez tarqaladi.","Ichimliklar, shirinliklar, pishirishda ziravor sifatida ishlatiladi. C vitamini va rux manbai.","O'zbekiston, Markaziy Osiyo"
43,kadi,Kadi,Lagenaria siceraria,poliz ekinlari,"Kadi - Cucurbitaceae oilasiga mansub, uzunchoq mevali poliz o'simligi.","Issiq iqlimni sevadi, quyoshli joylarda o'sadi, ko'p suv talab qiladi.","Pishirishda, ovqatlarda ishlatiladi. Tolalar va C vitamini manbai.","O'zbekiston, Markaziy Osiyo"
44,qovoq,Qovoq,Cucurbita,poliz ekinlari,"Qovoq - Cucurbitaceae oilasiga mansub, katta, dumaloq mevali poliz o'simligi.","Issiq iqlimni sevadi, katta joyni egallaydi, unumdor tuproq zarur.","Pishirishda, shirinliklar tayyorlashda ishlatiladi. A vitamini va karotin manbai.","O'zbekiston, Markaziy Osiyo"
45,kabachki,Kabachki,Cucurbita pepo,poliz ekinlari,"Kabachki - Cucurbitaceae oilasiga mansub, silindrsimon mevali poliz o'simligi.","Issiq iqlimni sevadi, quyoshli joylarda o'sadi, ko'p suv talab qiladi.","Pishirishda, qovurishda ishlatiladi. Folat va kaliy manbai.","O'zbekiston, Markaziy Osiyo"
46,makkajo'xori,Makkajo'xori,Zea mays,don ekinlari,"Makkajo'xori - Poaceae oilasiga mansub, so'tasi yeyiladigan don o'simligi.","Issiq iqlimni sevadi, ko'p quyosh va suv talab qiladi, azot zarur.","Pishirishda, un va kraxmal tayyorlashda ishlatiladi. B vitaminlari va magniy manbai.","O'zbekiston, Markaziy Osiyo"
47,tariq,Tariq,Panicum miliaceum,don ekinlari,"Tariq - Poaceae oilasiga mansub, mayda donli don o'simligi.","Quruqchilikka chidamli, azotga boy tuproqlarni sevadi, tez o'sadi.","Un, yorma tayyorlashda ishlatiladi. B vitaminlari va temir manbai.","O'zbekiston, Markaziy Osiyo"
48,guruch,Guruch,Oryza sativa,don ekinlari,"Guruch - Poaceae oilasiga mansub, oq donli don o'simligi.","Ko'p suv talab qiladi, issiq iqlimni sevadi, unumdor tuproq zarur.","Asosiy taom, desert tayyorlashda ishlatiladi. B vitaminlari va uglevod manbai.","O'zbekiston, Markaziy Osiyo"
49,arpa,Arpa,Hordeum vulgare,don ekinlari,"Arpa - Poaceae oilasiga mansub, qattiq donli don o'simligi.","Quruqchilikka chidamli, sovuqqa chidamli, tez o'sadi.","Yorma, pivoyoki chorva ozuqasi tayyorlashda ishlatiladi. B vitaminlari va tolalar manbai.","O'zbekiston, Markaziy Osiyo"
50,suli,Suli,Avena sativa,don ekinlari,"Suli - Poaceae oilasiga mansub, yumshoq donli don o'simligi.","Salqin iqlimni afzal ko'radi, namlikni sevadi, kislotali tuproqlarni ham ko'taradi.","Yorma, non tayyorlashda ishlatiladi. B vitaminlari va tolalar manbai.","O'zbekiston, Markaziy Osiyo"
51,soya,Soya,Glycine max,dukkakli,"Soya - Fabaceae oilasiga mansub, oqsili yuqori dukkakli o'simlik.","Issiq iqlimni sevadi, unumdor tuproq zarur, azot o'g'iti kerak emas.","Pishirishda, sut va yogurt mahsulotlari tayyorlashda ishlatiladi. Oqsil va temir manbai.","O'zbekiston, Markaziy Osiyo"
52,loviya,Loviya,Phaseolus vulgaris,dukkakli,"Loviya - Fabaceae oilasiga mansub, doni yeyiladigan dukkakli o'simlik.","Mo''tadil iqlimni sevadi, quyoshli joylarda o'sadi, namlikni sevadi.","Pishirishda, salatlarda ishlatiladi. Oqsil va tolalar manbai.","O'zbekiston, Markaziy Osiyo"
53,no'xat,No'xat,Cicer arietinum,dukkakli,"No'xat - Fabaceae oilasiga mansub, dumaloq donli dukkakli o'simlik.","Quruqchilikka chidamli, issiq iqlimni sevadi, azot o'g'iti kerak emas.","Pishirishda, salatlarda ishlatiladi. Oqsil va folat manbai.","O'zbekiston, Markaziy Osiyo"
54,mosh,Mosh,Vigna radiata,dukkakli,"Mosh - Fabaceae oilasiga mansub, yashil donli dukkakli o'simlik.","Issiq iqlimni sevadi, unumdor tuproq zarur, tez o'sadi.","Pishirishda, ko'za tayyorlashda ishlatiladi. Oqsil va temir manbai.","O'zbekiston, Markaziy Osiyo"
55,beda,Beda,Medicago sativa,dukkakli,"Beda - Fabaceae oilasiga mansub, chorva ozuqasi sifatida yetishtiriladigan ko'p yillik o'simlik.","Sovuqqa chidamli, suvsizlikka chidamli, azot o'g'iti kerak emas.","Chorva ozuqasi, tuproq boyitish uchun ishlatiladi. Oqsil va kalsiy manbai.","O'zbekiston, Markaziy Osiyo"
56,terak,Terak,Populus,manzarali daraxt,"Terak - Salicaceae oilasiga mansub, baland, tez o'suvchi manzarali daraxt.","Namlikni sevadi, tez o'sadi, har xil tuproqlarda o'sa oladi.","Shamoldan himoya, ko'kalamzorlashtirish, qurilish materiallari olishda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
57,qayin,Qayin,Betula,manzarali daraxt,"Qayin - Betulaceae oilasiga mansub, oq po'stli manzarali daraxt.","Sovuqqa chidamli, quyoshli joylarda o'sadi, har xil tuproqlarda o'sa oladi.","Ko'kalamzorlashtirish, qurilish materiallari olishda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
58,tol,Tol,Salix,manzarali daraxt,"Tol - Salicaceae oilasiga mansub, soyabonsimon shoxli manzarali daraxt.","Namlikni sevadi, daryo bo'ylarida yaxshi o'sadi, tez o'sadi.","Ko'kalamzorlashtirish, to'qimachilik buyumlari tayyorlashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
59,chinor,Chinor,Platanus,manzarali daraxt,"Chinor - Platanaceae oilasiga mansub, baland, keng shoxli manzarali daraxt.","Uzun umr ko'radi, qurg'oqchilikka chidamli, keng joyni egallaydi.","Ko'kalamzorlashtirish, soya berish, qurilish materiallari olishda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
60,zarang,Zarang,Acer,manzarali daraxt,"Zarang - Sapindaceae oilasiga mansub, kuzda barglari qizil tusga kiradigan manzarali daraxt.","Sovuqqa chidamli, quyoshli joylarda o'sadi, unumdor tuproq zarur.","Ko'kalamzorlashtirish, mebel tayyorlashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
61,kashtan,Kashtan,Castanea,manzarali daraxt,"Kashtan - Fagaceae oilasiga mansub, yirik bargji, yeyiladigan mevalari bo'lgan daraxt.","Sovuqqa chidamli, chuqur tuproqni sevadi, keng soyali.","Ko'kalamzorlashtirish, mevasi iste'mol qilinadi, qurilish uchun ishlatiladi.","O'zbekiston, Markaziy Osiyo"
62,archa,Archa,Juniperus,manzarali daraxt,"Archa - Cupressaceae oilasiga mansub, ignabargli, doim yashil daraxt yoki buta.","Quruqchilikka chidamli, sovuqqa chidamli, har xil tuproqlarda o'sa oladi.","Ko'kalamzorlashtirish, dorivororlik, dorivor moyi olishda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
63,qarag'ay,Qarag'ay,Pinus,manzarali daraxt,"Qarag'ay - Pinaceae oilasiga mansub, ignabargli, doim yashil manzarali daraxt.","Qumli tuproqlarni sevadi, quruqchilikka chidamli, quyoshli joylarda o'sadi.","Ko'kalamzorlashtirish, qurilish materiallari, qatron olishda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
64,jiyda,Jiyda,Elaeagnus angustifolia,mevali daraxt,"Jiyda - Elaeagnaceae oilasiga mansub, mayda, shirin mevali daraxt.","Quruqchilikka chidamli, sho'rxoklarda ham o'sa oladi, tez o'sadi.","Mevasi iste'mol qilinadi, dorivoror, shakar kasalligida foydali.","O'zbekiston, Markaziy Osiyo"
65,tut,Tut,Morus,mevali daraxt,"Tut - Moraceae oilasiga mansub, shirin mevali, keng shoxli daraxt.","Quruqchilikka chidamli, uzun umr ko'radi, har xil tuproqlarda o'sa oladi.","Mevasi iste'mol qilinadi, ipak qurti boqishda, keng soya berish uchun qo'llaniladi.","O'zbekiston, Markaziy Osiyo"
66,zira,Zira,Cuminum cyminum,ziravor,"Zira - Apiaceae oilasiga mansub, urug'i ziravor sifatida ishlatiladigan bir yillik o'simlik.","Issiq iqlimni sevadi, quruqchilikka chidamli, unumdor tuproq zarur.","Ovqatlarda ziravor sifatida, dorivor, hazm qilishni yaxshilashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
67,kunjut,Kunjut,Sesamum indicum,yog'li o'simlik,"Kunjut - Pedaliaceae oilasiga mansub, mayda urug'laridan yog' olinadigan o'simlik.","Issiq iqlimni sevadi, qurg'oqchilikka chidamli, yengil tuproqlarni afzal ko'radi.","Urug'i non mahsulotlarida, yogurt tayyorlashda, yog'i oshpazlikda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
68,maxsar,Maxsar,Carthamus tinctorius,yog'li o'simlik,"Maxsar - Asteraceae oilasiga mansub, urug'idan yog' olinadigan bir yillik o'simlik.","Quruqchilikka chidamli, issiq iqlimni sevadi, yengil tuproqlarni afzal ko'radi.","Urug'idan yog' olishda, oziq-ovqat, kosmetikada ishlatiladi.","O'zbekiston, Markaziy Osiyo"
69,paxta,Paxta,Gossypium,texnik o'simlik,"Paxta - Malvaceae oilasiga mansub, tolasi olinadigan muhim texnik o'simlik.","Issiq iqlimni sevadi, ko'p quyosh talab qiladi, ko'p suv sarflaydi.","Tolasidan ip, gazlama, urug'idan yog' olishda, chorva uchun ozuqa sifatida ishlatiladi.","O'zbekiston, Markaziy Osiyo"
70,kanop,Kanop,Hibiscus cannabinus,texnik o'simlik,"Kanop - Malvaceae oilasiga mansub, poyasidan tola olinadigan bir yillik o'simlik.","Issiq iqlimni sevadi, ko'p namlik talab qiladi, unumdor tuproq zarur.","Tolasidan arqon, qop, poyasidan yem-xashak tayyorlashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
71,olcha,Olcha,Prunus cerasus,mevali daraxt,"Olcha - Rosaceae oilasiga mansub, nordon ta'mli, qizil mevali daraxt.","Sovuqqa chidamli, quyoshli joylarda o'sadi, unumdor tuproq zarur.","Mevasi yangi holda, kompot, murobbolar tayyorlashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
72,olxo'ri,Olxo'ri,Prunus domestica,mevali daraxt,"Olxo'ri - Rosaceae oilasiga mansub, shirin, ko'k yoki qizil mevali daraxt.","Sovuqqa chidamli, quyoshli joylarda o'sadi, namlikni sevadi.","Mevasi yangi holda, quruq meva tayyorlashda, kompot, jam tayyorlashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
73,malina,Malina,Rubus idaeus,rezavor meva,"Malina - Rosaceae oilasiga mansub, qizil rezavor mevali buta.","Sovuqqa chidamli, yarim soyada o'sa oladi, namlikni sevadi.","Yangi holda iste'mol qilinadi, jam, kompot tayyorlashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
74,qulupnay,Qulupnay,Fragaria,rezavor meva,"Qulupnay - Rosaceae oilasiga mansub, qizil, shirin rezavor meva.","Quyoshli joylarda o'sadi, yetarli namlik talab qiladi, unumdor tuproq zarur.","Yangi holda iste'mol qilinadi, murobbolar, desert tayyorlashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
75,smorodina,Smorodina,Ribes,rezavor meva,"Smorodina - Grossulariaceae oilasiga mansub, qora yoki qizil rezavor mevali buta.","Sovuqqa chidamli, yarim soyada o'sa oladi, namlikni sevadi.","Yangi holda iste'mol qilinadi, jam, shirinliklar tayyorlashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
76,qorag'at,Qorag'at,Ribes nigrum,rezavor meva,"Qorag'at - Grossulariaceae oilasiga mansub, qora rezavor mevali buta.","Sovuqqa chidamli, unumdor tuproq zarur, namlikni sevadi.","Yangi holda iste'mol qilinadi, shirinliklar, ichimliklar tayyorlashda ishlatiladi.","O'zbekiston, Markaziy Osiyo"
77,brusnika,Brusnika,Vaccinium vitis-idaea,rezavor meva,"Brusnika - Ericaceae oilasiga mansub, qizil rezavor mevali past buta.","Sovuqqa chidamli, kislotali tuproqlarni afzal ko'radi, yarim soyada o'sa oladi.","Yangi holda iste'mol qilinadi, jam, ichimliklar tayyorlashda ishlatiladi.","O'zbekiston, tog'li hududlar"
78,chernika,Chernika,Vaccinium myrtillus,rezavor meva,"Chernika - Ericaceae oilasiga mansub, ko'k-qora rezavor mevali past buta.","Sovuqqa chidamli, kislotali tuproqlarni afzal ko'radi, yarim soyada o'sa oladi.","Yangi holda iste'mol qilinadi, shirinliklar, ichimliklar tayyorlashda ishlatiladi.","O'zbekiston, tog'li hududlar"
