kasallik_id,kasallik_kodi,o'simlik_turi,nomi,ilmiy_nomi,jiddiylik,tavsif,belgilari,davolash,o'g'itlar,oldini_olish
11,olma_un_shudring,olma,"Olma un-shudringi","Podosphaera leucotricha","O'rta","Un-shudring - zamburug' qo'zg'atadigan kasallik bo'lib, olma daraxtlarining barglarini, yosh novdalarini va gullarini zararlaydi. Kasallik issiq, namlik o'rtacha bo'lgan sharoitda rivojlanadi.","Barglarda, novdalarda va yosh mevalarda oq kukun kabi qoplam paydo bo'ladi. Zararlangan barglar buraladi, quriydi. Yosh novdalar o'sishdan to'xtaydi.","1. Fungitsidlar bilan bahor boshida ishlov bering. 2. Zararlangan novdalarni kesib tashlang. 3. Oltingugurt tarkibli preparatlar qo'llang.","Oltingugurt preparatlari,Kaliy sulfat,Bor preparati","Daraxtlarni to'g'ri butang. Kasallikka chidamli navlarni tanlang. Bahorda daraxtlar kurtak chiqarishidan oldin profilaktik ishlov bering."
12,olma_bakterial_kuyish,olma,"Olma bakterial kuyishi","Erwinia amylovora","Juda jiddiy","Bakterial kuyish - bakteriyalar qo'zg'atadigan xavfli kasallik. U gullar, barglar, novdalar va mevalarga ta'sir qiladi. Kasallik gullar orqali kiradi va novdalar bo'ylab tarqaladi.","Gullar va barglar qorayib, kuyganday ko'rinadi. Novdalar qorayib, uchi bukiladi ('cho'pon tayog'i' effekti). Mevalarda qora dog'lar paydo bo'lib, qurib qoladi.","1. Zararlangan qismlarni kesib tashlang, kesish joyini dezinfeksiya qiling. 2. Mis tarkibli preparatlar bilan ishlov bering. 3. Streptomitsin tarkibli antibiotiklar qo'llang.","Mis oksixlorid,Streptomitsin,Kalsiy preparatlari","Kasallikka chidamli navlarni tanlang. Gullash davrida profilaktik ishlov bering. Bog'ni muntazam kuzatib, zararlangan qismlarni darhol olib tashlang."
13,olma_mevaxo'r,olma,"Olma mevaxo'ri","Cydia pomonella","Jiddiy","Mevaxo'r - hasharot zararkunandasi, uning qurti olmaning ichiga kirib, uni zararlaydi. Har yili 2-3 avlod berishi mumkin.","Mevalarda kirishga mo'ljallangan teshik. Meva ichida qizg'ish-jigarrang qurt. Meva ichida jigarrang ipsimon chiqindilar. Mevalarning vaqtidan oldin to'kilishi.","1. Insektitsidlar bilan o'z vaqtida ishlov bering. 2. Feromon tutqichlar o'rnating. 3. Biologik kurash vositalari (Bacillus thuringiensis) qo'llang.","Organik o'g'itlar,Aminokislotali o'g'itlar,Kaliy sulfat","Daraxtlar atrofini tozalab turing. Tushgan mevalarni yig'ib oling. Kapalak paydo bo'lish vaqtida profilaktik ishlov bering. Qushlarni jalb qiling."
14,olma_qizil_o'rgimchakkana,olma,"Olma qizil o'rgimchakkanasi","Panonychus ulmi","O'rta","Qizil o'rgimchakkana - mayda zararkunanda, barglarning shirasi bilan oziqlanadi. Issiq va quruq ob-havoda tez ko'payadi.","Barglar kulrang-kumush rangga kiradi. Barglarning pastki tomonida mayda qizil kanalar va ularning tuxumlari. Barglar qurib, erta to'kiladi.","1. Akaritsidlar bilan ishlov bering. 2. Mineral moylar qo'llang. 3. Yirtqich kanalarni qo'yib yuborish orqali biologik kurash olib boring.","Kalsiy nitrat,Magniy sulfat,Temir sulfat","Bahorda daraxt kurtak chiqarishidan oldin mineral moylar bilan ishlov bering. Yirtqich hasharotlarni jalb qiling. Daraxtlarni me'yorida sug'oring."
15,kartoshka_fitoftoroz,kartoshka,"Kartoshka fitoftorozi","Phytophthora infestans","Juda jiddiy","Fitoftoroz - kartoshka va pomidorning eng xavfli kasalliklaridan biri. Bu kasallik namlik yuqori bo'lganda tez tarqaladi va butun hosilni yo'q qilishi mumkin.","Barglarning chetlarida to'q jigarrang dog'lar paydo bo'ladi, keyinchalik butun bargni qoplaydi. Nam havoda barglarda oqish mog'or paydo bo'ladi. Kasallik poyalarga va tuganaklarga ham o'tadi.","1. Zararlangan o'simliklarni olib tashlang. 2. Mis tarkibli fungitsidlar bilan ishlov bering. 3. Sug'orishni tartibga soling, ortiqcha namlikdan saqlaning. 4. Yomg'irdan keyin darhol ishlov bering.","Kaliy fosfit,Mis oksixlorid,Bio-fungitsidlar","Kasallikka chidamli navlarni tanlang, ekin aylantirishni qo'llang. Tuganaklar orasida yetarli masofa qoldiring. O'simliklarni barglarini ho'llamasdan sug'oring."
16,kartoshka_alternarioz,kartoshka,"Kartoshka makrosporiozi (alternariozi)","Alternaria solani","O'rta","Alternarioz - zamburug' qo'zg'atadigan kasallik, barglarni, poyalarni va tuganaklarni zararlaydi. Kasallik issiq va nam ob-havoda rivojlanadi.","Barglarda konsentrik halqalar bilan chegaralangan qo'ng'ir dog'lar paydo bo'ladi. Kasallik pastki barglardan boshlanib, yuqoriga ko'tariladi. Tuganaklarda qattiq, botiq dog'lar paydo bo'ladi.","1. Zararlangan qismlarni kesib tashlang. 2. Fungitsidlar bilan ishlov bering. 3. Kaliy tarkibli o'g'itlarni ko'proq qo'llang.","Kaliy sulfat,Mis oksixlorid,Triazol fungitsidlar","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Kartoshkani ikki yil ketma-ket bir joyda ekishdan saqlaning. Tuganaklar orasida yetarli masofa qoldiring."
17,kartoshka_parsha,kartoshka,"Kartoshka oddiy parshasi","Streptomyces scabies","O'rta","Parsha - tuproqda yashaydigan bakteriyalar qo'zg'atadigan kasallik. Asosan tuganaklarni zararlaydi, ammo hosildorlikka katta ta'sir ko'rsatmaydi.","Tuganaklarda yuzaki, mayda dog'lar paydo bo'ladi. Keyinchalik dog'lar qo'ng'ir, po'kaksimon to'qimaga aylanadi. Og'ir holatlarda tuganaklar yorilishi mumkin.","1. Ekishdan oldin tuganaklar ichiga botuvchi dog'lar bo'lganlarni tanlang. 2. Tuproqni nordonlashtiring (pH 5.2-5.5). 3. Ekin aylantirishni qo'llang.","Ammoniy sulfat,Oltingugurt,Organik o'g'itlar","Kartoshkani ikki yil ketma-ket bir joyda ekishdan saqlaning. Tuproqqa ko'p miqdorda kompost qo'shing. Parshaga chidamli navlarni tanlang."
18,kartoshka_kolorado_qo'ng'izi,kartoshka,"Kartoshka kolorado qo'ng'izi","Leptinotarsa decemlineata","Juda jiddiy","Kolorado qo'ng'izi - kartoshkaning eng xavfli zararkunandasi. Qo'ng'iz va uning lichinkalari barglar bilan oziqlanib, o'simlikni to'liq yo'q qilishi mumkin.","Barglarning chetidan yeyilishi. Barglarda to'q qizil-zarg'aldoq rangli hasharotlar va ularning sariq-qizil lichinkalari. O'simlikning to'liq yeyilishi.","1. Insektitsidlar bilan o'z vaqtida ishlov bering. 2. Qo'ng'izlarni qo'lda yig'ib oling. 3. Biologik kurash vositalari (Bacillus thuringiensis) qo'llang.","Azotli o'g'itlar,Kaliy sulfat,Organik o'g'itlar","Ekin aylantirishni qo'llang. Kartoshkani boshqa oilaga mansub o'simliklar (no'xat, loviya, beda) bilan almashtirib turing. Qo'ng'izlarni muntazam terib turing."
19,kartoshka_rizoktoniya,kartoshka,"Kartoshka rizoktoniya kasalligi","Rhizoctonia solani","Jiddiy","Rizoktoniya - tuproqda yashaydigan zamburug' qo'zg'atadigan kasallik. Asosan yosh nihollar va ildiz bo'yni zararlanganda xavfli.","Tuganaklar yuzasida qora, qattiq dog'lar (sklerosiyalar). Poyaning yer ostki qismida qo'ng'ir dog'lar. Yosh nihollarning so'lishi va qurib qolishi.","1. Ekishdan oldin tuganaklar dezinfeksiyasi. 2. Fungitsidlar bilan urug'lik ishlov berish. 3. Tuproqni dezinfeksiya qilish.","Trichoderma preparati,Mikrobiologik preparatlar,Gumat preparatlari","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Tuproqni quyosh bilan zararsizlantiring. Chuqur haydashdan saqlaning."
20,galla_zang,galla,"G'alla zangi","Puccinia graminis","Jiddiy","G'alla zangi - bu zamburug' qo'zg'atadigan kasallik bo'lib, g'alla ekinlarida katta zarar yetkazishi mumkin. Kasallik asosan bugdoy, arpa va javdarni zararlaydi.","Barglarda qizg'ish-jigarrang dog'lar paydo bo'ladi. Barglar qurib qoladi, hosildorlik pasayadi. Kasallik tarqalganda, butun dala zangsimon qizg'ish rangga kiradi.","1. Fungitsidlar bilan o'z vaqtida ishlov bering. 2. Zararlangan o'simlik qismlarini yo'q qiling. 3. Azot o'g'itlarini me'yorida ishlatish. 4. Triazol guruhiga mansub fungitsidlardan foydalaning.","Triazol fungitsidlar,Mikroelementli o'g'itlar,Kalsiy nitrat","Zangga chidamli navlarni ekish, havo aylanishini ta'minlash. Ekin aylantirishni qo'llang. Yovvoyi g'allasimon o'tlarni yo'q qiling."
21,galla_qorakuya,galla,"G'alla qorakuya kasalligi","Ustilago tritici","Jiddiy","Qorakuya - zamburug' qo'zg'atadigan kasallik bo'lib, g'alla ekinlarining boshoqlarini zararlaydi. Kasallik urug' orqali tarqaladi.","Boshoqlar qora, chang ko'rinishidagi sporalarga aylanadi. Donlar o'rniga qora chang paydo bo'ladi. Hosil to'liq yo'q bo'lishi mumkin.","1. Urug'larni ekishdan oldin fungitsidlar bilan ishlov bering. 2. Sifatli, sertifikatlangan urug'lik ishlating. 3. Zararlangan o'simliklarni yo'q qiling.","Karboksim,Tebukonazol,Mikroelementli o'g'itlar","Kasallikka chidamli navlarni tanlang. Urug'lik materialini muntazam yangilab turing. Urug'larni dorilashni har yili o'tkazing."
22,galla_septorioz,galla,"G'alla septoriozi","Septoria tritici","O'rta","Septorioz - zamburug' qo'zg'atadigan kasallik bo'lib, g'alla ekinlarining barglarini zararlaydi. Kasallik nam ob-havoda rivojlanadi.","Barglarda cho'zinchoq, sariq-jigarrang dog'lar paydo bo'ladi. Dog'lar markazida qora nuqtalar (piknidalar) ko'rinadi. Barglar sarg'ayib, qurib qoladi.","1. Fungitsidlar bilan o'z vaqtida ishlov bering. 2. Zararlangan qismlarni kesib tashlang. 3. Triazol guruhiga mansub fungitsidlardan foydalaning.","Triazol fungitsidlar,Strobilurin fungitsidlar,Mikroelementli o'g'itlar","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. G'alla ekinlarini ikki yil ketma-ket bir joyda ekishdan saqlaning. O'simliklar orasida yetarli masofa qoldiring."
23,galla_ildiz_chirish,galla,"G'alla ildiz chirish kasalligi","Fusarium spp.","Jiddiy","Ildiz chirish - zamburug' qo'zg'atadigan kasallik bo'lib, g'alla ekinlarining ildizlarini zararlaydi. Kasallik tuproq orqali tarqaladi.","O'simliklarning so'lishi va sarg'ayishi. Ildiz va ildiz bo'yni qo'ng'ir rangga kiradi, chirishga boshlanadi. Boshoqlar rivojlanmaydi, pushti rangda bo'ladi.","1. Urug'lik fungitsidlar bilan ishlov bering. 2. Tuproq pH darajasini nazorat qiling. 3. Azot o'g'itlarini me'yorida ishlatish.","Trichoderma preparati,Gumat preparatlari,Mikroelementli o'g'itlar","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. G'alla ekinlarini dukkakli o'simliklar bilan almashtiring. Tuproqni quyosh bilan zararsizlantiring."
24,galla_un_shudring,galla,"G'alla un-shudringi","Blumeria graminis","O'rta","Un-shudring - zamburug' qo'zg'atadigan kasallik bo'lib, g'alla ekinlarining barglarini va poyalarini zararlaydi. Kasallik nam va salqin ob-havoda rivojlanadi.","Barglarda va poyalarda oq, paxtasimon qoplam paydo bo'ladi. Keyinchalik bu qoplam qo'ng'ir rangga kiradi. Barglar qurib qoladi, hosildorlik pasayadi.","1. Fungitsidlar bilan o'z vaqtida ishlov bering. 2. Oltingugurt tarkibli preparatlar qo'llang. 3. Triazol guruhiga mansub fungitsidlardan foydalaning.","Oltingugurt preparatlari,Triazol fungitsidlar,Mikroelementli o'g'itlar","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Me'yoridan ortiq azotli o'g'itlar ishlatishdan saqlaning. O'simliklar orasida yetarli masofa qoldiring."
25,uzum_mildyu,uzum,"Uzum mildiyu","Plasmopara viticola","Jiddiy","Mildyu - uzum tokining eng xavfli kasalliklaridan biri. Kasallik namlik yuqori bo'lganda tez rivojlanadi va butun hosildorlikka ta'sir qiladi.","Barglarda yog'simon dog'lar paydo bo'ladi, keyinchalik qo'ng'ir rangga aylanadi. Barglarning pastki tomonida oq mog'or paydo bo'ladi. Zararlangan barglar qurib to'kiladi.","1. Mis tarkibli preparatlar bilan ishlov bering. 2. Barglararo masofani oshirish uchun tokni butang. 3. Sug'orishni tartibga soling. 4. Sistematik fungitsidlardan foydalaning.","Mis sulfat,Kaliy fosfonat,Organik fungitsidlar","Havo aylanishini ta'minlash, ertalab sug'orish, barglarni ho'llamaslik. Kasallikka chidamli navlarni tanlang. Toklar orasida yetarli masofa qoldiring."
26,uzum_oidium,uzum,"Uzum oidium (un-shudring) kasalligi","Uncinula necator","Jiddiy","Oidium - zamburug' qo'zg'atadigan kasallik bo'lib, uzum tokining barcha yashil qismlarini, ayniqsa mevalarini zararlaydi. Kasallik issiq va quruq ob-havoda rivojlanadi.","Barglarda, yosh novdalarda va mevalarda oq, kukun kabi qoplam paydo bo'ladi. Zararlangan barglar buraladi. Mevalar yoriladi va chirib ketadi.","1. Oltingugurt tarkibli preparatlar qo'llang. 2. Triazol guruhiga mansub fungitsidlardan foydalaning. 3. Zararlangan qismlarni kesib tashlang.","Oltingugurt preparatlari,Triazol fungitsidlar,Kaliy sulfat","Kasallikka chidamli navlarni tanlang. Toklarni to'g'ri butang va bog'lang. Havo aylanishini ta'minlang. Ortiqcha azotli o'g'itlar qo'llashdan saqlaning."
27,uzum_antraknoz,uzum,"Uzum antraknozu","Elsinoe ampelina","O'rta","Antraknoz - zamburug' qo'zg'atadigan kasallik bo'lib, uzum tokining barglari, novdalari va mevalarini zararlaydi. Kasallik nam va iliq ob-havoda rivojlanadi.","Barglarda va novdalarda qo'ng'ir-qizil, keyinchalik kulrang markazli dog'lar paydo bo'ladi. Zararlangan barglar teshiladi. Mevalarda botiq, qora dog'lar paydo bo'ladi.","1. Mis tarkibli preparatlar bilan ishlov bering. 2. Zararlangan qismlarni kesib tashlang. 3. Fungitsidlarni almashtirgan holda qo'llang.","Mis oksixlorid,Kaptafol,Mikroelementli o'g'itlar","Kasallikka chidamli navlarni tanlang. Toklarni to'g'ri butang. Barcha o'lik novdalarni kesib tashlang. Tuproq yuqori namligidan saqlaning."
28,uzum_kul_rang_chirish,uzum,"Uzum kul rang chirishi","Botrytis cinerea","Jiddiy","Kul rang chirish - zamburug' qo'zg'atadigan kasallik bo'lib, asosan uzum mevalarini zararlaydi. Kasallik namlik yuqori bo'lganda tez rivojlanadi, ayniqsa mevalar pishish davrida.","Mevalarda kul rang mog'or paydo bo'ladi. Meva to'qimasi yumshoq, suvli bo'ladi va chirib ketadi. Kasallik butkasallik_id,kasallik_kodi,o'simlik_turi,nomi,ilmiy_nomi,jiddiylik,tavsif,belgilari,davolash,o'g'itlar,oldini_olish
29,uzum_filloksera,uzum,"Uzum fillokserasi","Daktulosphaira vitifoliae","Juda jiddiy","Filloksera - tok ildizlarini zararlaydigan hasharot. Bu hasharot Yevropa uzumi navlarining asosiy kushandasi hisoblanadi va butun bog'larni yo'q qilishi mumkin.","Ildizlarda bo'rtmalar va shishlar paydo bo'ladi. O'simlik sekin-asta zaiflashadi. Barglar sarg'ayib, o'simlik qurib qoladi. Filloksera ta'siridan o'simlik 3-5 yil ichida o'ladi.","1. Karantin choralariga rioya qiling. 2. Chidamli payvandtaglarga payvand qilingan ko'chatlar ekish. 3. Tuproqni insektitsidlar bilan ishlov bering.","Organik o'g'itlar,Gumat preparatlari,Aminokislotali o'g'itlar","Faqat fillokseraga chidamli payvandtaglarga payvand qilingan ko'chatlar ekish. Karantin choralariga qat'iy rioya qilish. Infeksiyalangan o'simliklarni yo'q qilish."
30,uzum_qizil_doglanish,uzum,"Uzum qizil dog'lanishi","Pseudopezicula tracheiphila","O'rta","Qizil dog'lanish - zamburug' qo'zg'atadigan kasallik bo'lib, asosan barglarni zararlaydi. Kasallik nam va salqin ob-havoda rivojlanadi.","Barglarda qizil-qo'ng'ir, keyinchalik qizg'ish-jigarrang dog'lar paydo bo'ladi. Dog'lar tomirlar bilan chegaralangan. Barglar qurib to'kiladi.","1. Fungitsidlar bilan o'z vaqtida ishlov bering. 2. Kuzda tushgan barglarni yig'ib oling. 3. Mis tarkibli preparatlar bilan ishlov bering.","Mis oksixlorid,Triazol fungitsidlar,Kaliy fosfat","Kasallikka chidamli navlarni tanlang. Toklar orasida yetarli masofa qoldiring. Havo aylanishini ta'minlang. Kuzda tushgan barglarni yig'ib oling."
31,lavlagi_cercospora,lavlagi,"Lavlagi serkosporoz kasalligi","Cercospora beticola","O'rta","Serkosporoz - zamburug' qo'zg'atadigan kasallik bo'lib, asosan lavlagi barglarini zararlaydi. Kasallik nam va iliq ob-havoda rivojlanadi.","Barglarda qizil hoshiyali kichik dumaloq dog'lar paydo bo'ladi. Vaqt o'tishi bilan dog'lar qo'shilishi va butun bargni qoplashi mumkin. Zararlangan barglar qurib qoladi.","1. Fungitsidlar bilan muntazam ishlov bering. 2. Kasallangan barglarni olib tashlang. 3. Ekinlarni almashtiring. 4. Kaliy o'g'itlaridan foydalaning.","Mis preparatlari,Kaliy o'g'itlari,Mikroelementlar","Kasallikka chidamli navlarni ekish, o'simliklar orasida yetarli masofa qoldirish. Ekin aylantirishni qo'llash. O'simliklarni muntazam ko'rib turish."
32,lavlagi_peronosporoz,lavlagi,"Lavlagi peronosporozi","Peronospora farinosa","Jiddiy","Peronosporoz - zamburug' qo'zg'atadigan kasallik bo'lib, lavlagi barglarini zararlaydi. Kasallik nam va salqin ob-havoda rivojlanadi.","Barglarda sariq, keyinchalik qo'ng'ir dog'lar paydo bo'ladi. Barglarning pastki tomonida kulrang-binafsha mog'or hosil bo'ladi. Barglar buraladi va qurib qoladi.","1. Mis tarkibli preparatlar bilan ishlov bering. 2. Fungitsidlar bilan o'z vaqtida ishlov bering. 3. Ekinlar orasida havo aylanishini ta'minlang.","Mis oksixlorid,Kaliy fosfit,Mikroelementli o'g'itlar","Kasallikka chidamli navlarni tanlang. Ekin aylantirishni qo'llang. Lavlagini nam tuproqlarga ekishdan saqlaning. O'simliklar orasida yetarli masofa qoldiring."
